dataset,method,base_f1,as_k,as_f1,as_std,ls_r,ls_f1,ls_std,dsu_k,dsu_r,dsu_f1,dsu_std,dsu_n,as_minus_base,ls_minus_base,dsu_minus_base,dsu_minus_as,dsu_minus_ls,status
20newsgroups,d-federaser,0.3829416149717908,4,0.46829441800030036,0.023371334866521952,0.4,0.4763864911891228,0.012960572658621146,4,0.8,0.5032291855318172,0.040282022129798555,3,0.08535280302850956,0.093444876217332,0.12028757056002637,0.03493476753151681,0.026842694342694373,PASS
20newsgroups,d-fedosd,0.3737069823283129,7,0.4895912513412514,0.04307810522102746,0.1,0.6025162582515523,0.02396333118192683,8,0.1,0.6021317924994396,0.028272510376565314,3,0.11588426901293852,0.2288092759232394,0.2284248101711267,0.11254054115818818,-0.00038446575211270595,FAIL_DSU_LE_LS
20newsgroups,d-fedrecovery,0.4145424321631566,5,0.5172398879643462,0.00505826022744331,0.2,0.6099639621930643,0.01733892133698747,8,0.1,0.6147829839006309,0.019168004570875505,3,0.10269745580118955,0.19542153002990764,0.2002405517374743,0.09754309593628474,0.004819021707566651,PASS
20newsgroups,d-oblivionis,0.41455554392796573,7,0.515914862914863,0.02387457753855605,0.1,0.607079901093059,0.00625422069653762,8,0.1,0.6188544788544788,0.011889996106455272,3,0.10135931898689726,0.19252435716509325,0.20429893492651302,0.10293961593961576,0.011774577761419769,PASS
yahoo_subset,d-federaser,0.6388611261535969,9,0.6873491966309911,0.005749709786604303,0.9,0.6869834579531209,0.004970227747507093,9,0.6,0.6904280161391482,0.015375807318302012,3,0.04848807047739423,0.048122331799523965,0.051566889985551256,0.003078819508157027,0.003444558186027291,PASS
yahoo_subset,d-fedosd,0.594746088398959,7,0.6884170377664791,0.0038425212186419064,0.1,0.7327275854520436,0.010842160994710498,5,0.2,0.736810825038998,0.026999948772510628,3,0.09367094936752007,0.1379814970530846,0.14206473664003894,0.04839378727251886,0.004083239586954335,PASS
yahoo_subset,d-fedrecovery,0.623979468356413,4,0.7133330202848307,0.011226952770951986,0.1,0.7369492295443298,0.007488677164672721,8,0.1,0.7514742999232163,0.019628549570891916,3,0.08935355192841765,0.1129697611879168,0.1274948315668033,0.03814127963838565,0.014525070378886507,PASS
yahoo_subset,d-oblivionis,0.6195299371507654,6,0.6978538214800161,0.013730223296279492,0.1,0.7315327074674227,0.0071944710888193555,4,0.2,0.7406428147016383,0.018329304322243816,3,0.07832388432925064,0.11200277031665729,0.12111287755087286,0.04278899322162222,0.00911010723421557,PASS
