dataset,algorithm,setting,k,r,n,seeds,macro_f1_best_mean,macro_f1_best_std,macro_f1_mean_mean,macro_f1_mean_std,mia_auc_mean,mia_auc_std,trajectory_l1_mean,trajectory_l1_std,label_l1_mean,label_l1_std,target_exposure_mean,target_exposure_std,solve_time_sec_mean,solve_time_sec_std
20newsgroups,d-federaser,AS,4,,3,"42,43,44",0.46829441800030036,0.023371334866521952,0.4315060925387012,0.038022897027052145,0.5162016401456915,0.02695984918940134,0.6125755987468674,0.06890445981630446,0.24499125337156585,0.02808034008744505,0.15380060753169855,0.051436576126419276,0.24555659294128418,0.035981814667061664
20newsgroups,d-federaser,LS,,0.4,3,"42,43,44",0.4763864911891228,0.012960572658621146,0.39235081075493433,0.02032890871775508,0.5366950572538071,0.016394940338190323,,,,,,,,
20newsgroups,d-fedosd,AS,7,,3,"42,43,44",0.4895912513412514,0.04307810522102746,0.3855043757304861,0.035942081389908134,0.5616302387895236,0.06755107438911022,0.22017089808382223,0.05250970356196759,0.12127832824761127,0.01738936289813555,0.10563011161633463,0.028066457060894064,0.12230173746744792,0.01203236251435374
20newsgroups,d-fedosd,LS,,0.1,3,"42,43,44",0.6025162582515523,0.02396333118192683,0.5634771968784696,0.01839772724309802,0.57960512221901,0.03333892498256217,,,,,,,,
20newsgroups,d-fedrecovery,AS,5,,3,"42,43,44",0.5172398879643462,0.00505826022744331,0.4185899972019167,0.03191593397825314,0.5301603193111375,0.032248981476670435,0.43677973502357736,0.006068304311647626,0.20172050120484977,0.011665690174078374,0.12892537585667374,0.06196662727527221,0.23032100995381674,0.03931564691434793
20newsgroups,d-fedrecovery,LS,,0.2,3,"42,43,44",0.6099639621930643,0.01733892133698747,0.5346861998997586,0.010057198368932057,0.5758063707496112,0.034841721683200655,,,,,,,,
20newsgroups,d-oblivionis,AS,7,,3,"42,43,44",0.515914862914863,0.02387457753855605,0.43618397742365594,0.011707472000798325,0.5414424188449588,0.011856285118422584,0.22017089808382223,0.05250970356196759,0.12127832824761127,0.01738936289813555,0.10563011161633463,0.028066457060894064,0.11913442611694336,0.007561078370412161
20newsgroups,d-oblivionis,LS,,0.1,3,"42,43,44",0.607079901093059,0.00625422069653762,0.5663878866136348,0.005434385037859645,0.5772925331748862,0.0278274095022038,,,,,,,,
yahoo_subset,d-federaser,AS,9,,3,"42,43,44",0.6873491966309911,0.005749709786604303,0.6392263458629102,0.017230992135968806,0.4779814814814815,0.05378780464630818,8.870219373828073e-16,5.155706605893566e-16,2.0816681711721685e-16,1.3738309013483032e-16,0.1071393158984705,0.006592600447763153,0.008691231409708658,0.002572368791756778
yahoo_subset,d-federaser,LS,,0.9,3,"42,43,44",0.6869834579531209,0.004970227747507093,0.6390130541173575,0.011370139481616495,0.47374444444444447,0.04859206102916122,,,,,,,,
yahoo_subset,d-fedosd,AS,7,,3,"42,43,44",0.6884170377664791,0.0038425212186419064,0.5613208717995344,0.05816416301079992,0.4903666666666667,0.06406688504709109,0.24536821525385552,0.042506622479645505,0.07675509467598336,0.018096469644314335,0.11018582017987004,0.007353372098721505,0.14233644803365073,0.06762163228811671
yahoo_subset,d-fedosd,LS,,0.1,3,"42,43,44",0.7327275854520436,0.010842160994710498,0.7054724787238119,0.013040501184099017,0.5040555555555556,0.06959222025012252,,,,,,,,
yahoo_subset,d-fedrecovery,AS,4,,3,"42,43,44",0.7133330202848307,0.011226952770951986,0.6665606609404772,0.014216600673374472,0.45009999999999994,0.05823920858551106,0.6347752169721309,0.008546068670973258,0.16841443724329755,0.022368955581569965,0.08285939653858493,0.02354919154864508,0.18010743459065756,0.017826913964581872
yahoo_subset,d-fedrecovery,LS,,0.1,3,"42,43,44",0.7369492295443298,0.007488677164672721,0.7164464207899338,0.006550686505377803,0.4764629629629629,0.06822944908841118,,,,,,,,
yahoo_subset,d-oblivionis,AS,6,,3,"42,43,44",0.6978538214800161,0.013730223296279492,0.6100861883848119,0.012525175648775248,0.500211111111111,0.05156998540877949,0.369329791533979,0.03308475320120906,0.12172298316745944,0.024623408299129845,0.11000245336580067,0.013464626981708581,0.14711260795593262,0.007434605511022607
yahoo_subset,d-oblivionis,LS,,0.1,3,"42,43,44",0.7315327074674227,0.0071944710888193555,0.6980865729545674,0.00498970046660318,0.5024037037037037,0.06311550932335715,,,,,,,,
