method,dsu,macro_f1(mean±std),mia_auc(mean±std),n_seeds,seed_values_macro_f1,seed_values_mia_auc
Retrain,-,72.18±1.52,51.93±1.35,3,-,-
FedEraser,×,67.56±1.87,50.52±6.40,3,"{""42"": 69.54994323415377, ""43"": 67.26632892391406, ""44"": 65.8519767798944}","{""42"": 55.0475, ""43"": 53.3175, ""44"": 43.19598}"
FedEraser,✓,67.18±0.98,49.88±5.87,3,"{""42"": 66.77439444837479, ""43"": 68.29701683877212, ""44"": 66.47467541208287}","{""42"": 52.91, ""43"": 53.6075, ""44"": 43.115578}"
FedOSD,×,67.02±4.10,51.75±6.35,3,"{""42"": 62.29339706897251, ""43"": 69.41872194301861, ""44"": 69.35572997021374}","{""42"": 57.7825, ""43"": 52.3325, ""44"": 45.120603}"
FedOSD,✓,72.25±2.41,56.31±7.83,3,"{""42"": 72.6078431372549, ""43"": 74.46810340689059, ""44"": 69.67778537252222}","{""42"": 56.8825, ""43"": 63.83, ""44"": 48.20603}"
FedRecovery,×,69.84±0.80,52.32±6.39,3,"{""42"": 69.75288815570146, ""43"": 70.67050596462362, ""44"": 69.0839374606638}","{""42"": 50.3975, ""43"": 59.46, ""44"": 47.113065}"
FedRecovery,✓,73.98±1.13,54.27±7.41,3,"{""42"": 74.25279419582826, ""43"": 72.74256854256855, ""44"": 74.94524412635867}","{""42"": 55.4025, ""43"": 61.0475, ""44"": 46.351759}"
Oblivionis,×,70.29±0.56,54.58±4.24,3,"{""42"": 70.49657863337362, ""43"": 69.65810621130315, ""44"": 70.72935368724843}","{""42"": 56.8975, ""43"": 57.155, ""44"": 49.688442}"
Oblivionis,✓,72.68±1.90,54.57±8.54,3,"{""42"": 74.60802434280694, ""43"": 72.62573094559231, ""44"": 70.81865743176822}","{""42"": 57.53, ""43"": 61.235, ""44"": 44.947236}"
