dataset,algorithm,setting,k,r,n,seeds,macro_f1_best_mean,macro_f1_best_std,macro_f1_mean_mean,macro_f1_mean_std,mia_auc_mean,mia_auc_std,trajectory_l1_mean,trajectory_l1_std,label_l1_mean,label_l1_std,target_exposure_mean,target_exposure_std,solve_time_sec_mean,solve_time_sec_std
20newsgroups,d-federaser,DSU,4,0.8,3,"42,43,44",0.5032291855318172,0.040282022129798555,0.46500779893661676,0.04360233752296405,0.519797775569558,0.027861600363750825,0.6125755987468674,0.06890445981630446,0.24499125337156585,0.02808034008744505,0.15380060753169855,0.051436576126419276,0.2612415949503581,0.014877877634188288
20newsgroups,d-fedosd,DSU,8,0.1,3,"42,43,44",0.6021317924994396,0.028272510376565314,0.5591616455833754,0.024164765923730677,0.5835453878521105,0.03392411865357129,0.14949868236257724,0.036503270792561014,0.0730178118563928,0.011044526315460521,0.11471318691281021,0.028771767629702575,0.09024699529012044,0.014752963244458156
20newsgroups,d-fedrecovery,DSU,8,0.1,3,"42,43,44",0.6147829839006309,0.019168004570875505,0.5577893657100564,0.0019543614420333318,0.571921575647803,0.032732537267614985,0.14949868236257724,0.036503270792561014,0.0730178118563928,0.011044526315460521,0.11471318691281021,0.028771767629702575,0.08738287289937337,0.00949456186826759
20newsgroups,d-oblivionis,DSU,8,0.1,3,"42,43,44",0.6188544788544788,0.011889996106455272,0.5651213042868338,0.01044750686916554,0.5772694843487635,0.025292116427229238,0.14949868236257724,0.036503270792561014,0.0730178118563928,0.011044526315460521,0.11471318691281021,0.028771767629702575,0.09081308046976726,0.0080043245538989
yahoo_subset,d-federaser,DSU,9,0.6,3,"42,43,44",0.6904280161391482,0.015375807318302012,0.6460431268808406,0.014512672101565352,0.474337037037037,0.050282541892831864,8.870219373828073e-16,5.155706605893566e-16,2.0816681711721685e-16,1.3738309013483032e-16,0.1071393158984705,0.006592600447763153,0.00574191411336263,0.0005147885880472091
yahoo_subset,d-fedosd,DSU,5,0.2,3,"42,43,44",0.736810825038998,0.026999948772510628,0.7127021409524016,0.017558165326034682,0.5013933333333334,0.06227288191678799,0.45150090737373505,0.016646825493499946,0.15889516332431236,0.029104451211613896,0.10808384454353598,0.00314725605105742,0.14664292335510254,0.02244526840947111
yahoo_subset,d-fedrecovery,DSU,8,0.1,3,"42,43,44",0.7514742999232163,0.019628549570891916,0.720168336778358,0.006263147272627067,0.4753041666666667,0.07160598521112294,0.17185862028179477,0.018713598452347834,0.0337305134708837,0.010751056121277646,0.11445270300519085,0.006095866288916567,0.15884200731913248,0.04405211064892212
yahoo_subset,d-oblivionis,DSU,4,0.2,3,"42,43,44",0.7406428147016383,0.018329304322243816,0.7181662993868876,0.007871229194925639,0.4924833333333333,0.0703625502111899,0.6347752169721309,0.008546068670973258,0.16841443724329755,0.022368955581569965,0.08285939653858493,0.02354919154864508,0.1805907885233561,0.01433022832534109
