dataset,method,base_param,base_f1,base_f1_std,base_mia,base_mia_std,as_param,as_f1,as_f1_std,as_mia,as_mia_std,ls_param,ls_f1,ls_f1_std,ls_mia,ls_mia_std,dsu_param,dsu_f1,dsu_f1_std,dsu_mia,dsu_mia_std,dsu_minus_base_f1,dsu_minus_as_f1,dsu_minus_ls_f1
20newsgroups,d-federaser,-,0.3829416149717908,0.019840411247284355,0.5406749621698759,0.017525455031599642,k=4,0.46829441800030036,0.023371334866521952,0.5162016401456915,0.02695984918940134,r=0.4,0.4763864911891228,0.012960572658621146,0.5366950572538071,0.016394940338190323,"k=4,r=0.8",0.5032291855318172,0.040282022129798555,0.519797775569558,0.027861600363750825,0.12028757056002637,0.03493476753151681,0.026842694342694373
20newsgroups,d-fedosd,-,0.3737069823283129,0.03457674789798672,0.5517888069635084,0.0562859484374458,k=7,0.4895912513412514,0.04307810522102746,0.5616302387895236,0.06755107438911022,r=0.1,0.6025162582515523,0.02396333118192683,0.57960512221901,0.03333892498256217,"k=5,r=0.1",0.6000046930193988,0.01609383257608607,0.5793406102472887,0.02643174973994611,0.22629771069108595,0.11041344167814743,-0.0025115652321534565
20newsgroups,d-fedrecovery,-,0.4145424321631566,0.013118326100192482,0.5533120957048423,0.020070862380625602,k=5,0.5172398879643462,0.00505826022744331,0.5301603193111375,0.032248981476670435,r=0.2,0.6099639621930643,0.01733892133698747,0.5758063707496112,0.034841721683200655,"k=5,r=0.1",0.6112776112776114,0.025393541079450948,0.5716982486774613,0.04384084093306451,0.19673517911445476,0.09403772331326521,0.0013136490845471194
20newsgroups,d-oblivionis,-,0.41455554392796573,0.011042966416389015,0.5499944688135754,0.009899845185877668,k=7,0.515914862914863,0.02387457753855605,0.5414424188449588,0.011856285118422584,r=0.1,0.607079901093059,0.00625422069653762,0.5772925331748862,0.0278274095022038,"k=6,r=0.1",0.6078355876149993,0.01567711306171246,0.5781787409275246,0.028149912703485432,0.1932800436870336,0.09192072470013635,0.0007556865219403575
yahoo_subset,d-federaser,-,0.6388611261535969,0.010096557515073108,0.47376666666666667,0.04777740826730497,k=9,0.6873491966309911,0.005749709786604303,0.4779814814814815,0.05378780464630818,r=0.9,0.6869834579531209,0.004970227747507093,0.47374444444444447,0.04859206102916122,"k=5,r=0.6",0.6861202555069615,0.01132897004341059,0.47492000000000006,0.056265079756452833,0.047259129353364626,-0.0012289411240296033,-0.000863202446159339
yahoo_subset,d-fedosd,-,0.594746088398959,0.03252252718458305,0.49920000000000003,0.051088423305919055,k=7,0.6884170377664791,0.0038425212186419064,0.4903666666666667,0.06406688504709109,r=0.1,0.7327275854520436,0.010842160994710498,0.5040555555555556,0.06959222025012252,"k=5,r=0.2",0.736810825038998,0.026999948772510628,0.5013933333333334,0.06227288191678799,0.14206473664003894,0.04839378727251886,0.004083239586954335
yahoo_subset,d-fedrecovery,-,0.623979468356413,0.013906647652875855,0.4933,0.04813081539872874,k=4,0.7133330202848307,0.011226952770951986,0.45009999999999994,0.05823920858551106,r=0.1,0.7369492295443298,0.007488677164672721,0.4764629629629629,0.06822944908841118,"k=4,r=0.15",0.7389418724014901,0.01735526939151904,0.4601833333333334,0.06666671562498201,0.11496240404507707,0.02560885211665942,0.001992642857160276
yahoo_subset,d-oblivionis,-,0.6195299371507654,0.018745892730162653,0.49066296296296297,0.037365209422288374,k=6,0.6978538214800161,0.013730223296279492,0.500211111111111,0.05156998540877949,r=0.1,0.7315327074674227,0.0071944710888193555,0.5024037037037037,0.06311550932335715,"k=4,r=0.2",0.7406428147016383,0.018329304322243816,0.4924833333333333,0.0703625502111899,0.12111287755087286,0.04278899322162222,0.00911010723421557
