dataset,algorithm,seed,setting,k,r,selected_agents,selected_agents_count,macro_f1_mean,macro_f1_std,macro_f1_best,best_agent_id,mia_auc,mia_auc_std,trajectory_l1,trajectory_l2,label_l1,target_exposure,solver_success,solve_time_sec,run_dir
20newsgroups,d-federaser,42,LS,,0.5,1 2 3 4 5 6 7 8 9,9,0.3798296204875863,0.04653100577535581,0.45119214119214124,7,0.5245098039215687,0.016049982911391637,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.5_topratio_ours/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_192537
20newsgroups,d-federaser,42,LS,,0.6,1 2 3 4 5 6 7 8 9,9,0.3969756234294979,0.047211455179396254,0.4527380952380953,9,0.5303454715219421,0.010814284085431908,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.6_topratio_ours/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_192739
20newsgroups,d-federaser,42,LS,,0.7,1 2 3 4 5 6 7 8 9,9,0.38157578928734764,0.03208634116291248,0.42990164805954284,7,0.5301898537192655,0.015541677024306226,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.7_topratio_ours/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_193111
20newsgroups,d-federaser,42,LS,,0.8,1 2 3 4 5 6 7 8 9,9,0.3690591915093642,0.032828663326067924,0.43077125772777947,8,0.5306255835667599,0.014475467293043533,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.8_topratio_ours/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_193258
20newsgroups,d-federaser,42,LS,,0.9,1 2 3 4 5 6 7 8 9,9,0.3621968791946058,0.041283074882325924,0.4222771672771673,8,0.5274198568316214,0.015636979836925434,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.9_topratio_ours/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_193650
20newsgroups,d-federaser,42,LS,,1.0,1 2 3 4 5 6 7 8 9,9,0.35907199985070487,0.04030869640986449,0.416937933067964,8,0.5293650793650794,0.0166219482884358,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora1.0_topratio_ours/K10/G10_L5/alpha0.5/seed42_20251220_074624/dfu_20260526_193824
20newsgroups,d-federaser,43,AS,1,,7,1,0.3338555725320431,0.0,0.3338555725320431,7,0.6097711811997527,0.0,1.9804152670965842,0.4816182626344091,0.6846242325798602,0.045900014300669686,True,0.0159761905670166,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count1/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_212110
20newsgroups,d-federaser,43,AS,2,,8 9,2,0.3811923023213346,0.0,0.3811923023213346,8,0.5451453308596166,0.0,1.0793960817651627,0.2501547274049409,0.4955288220230342,0.20913882426976121,True,0.1831674575805664,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count2/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_212158
20newsgroups,d-federaser,43,AS,3,,1 2 9,3,0.41589743589743594,0.0,0.41589743589743594,1,0.5143269428983714,0.0005255637511433523,0.7206862330703756,0.17495406838735802,0.43840579783217287,0.24954641327441,True,0.2062680721282959,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count3/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_212320
20newsgroups,d-federaser,43,AS,4,,1 2 8 9,4,0.4583606822809188,0.02155496932745621,0.48174408924408924,9,0.5506338899196042,0.009212117247298387,0.5267495257254096,0.1238133406798929,0.26098676032797186,0.21238744919546979,True,0.1954042911529541,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count4/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_212442
20newsgroups,d-federaser,43,AS,5,,1 2 3 8 9,5,0.44957578097283984,0.022933866337112585,0.48284965034965033,8,0.552752009894867,0.007544075714188328,0.43226140873842833,0.10547464223673152,0.21184296293631338,0.20449810011289066,True,0.26258230209350586,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count5/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_212516
20newsgroups,d-federaser,43,AS,6,,1 3 4 5 6 9,6,0.42063887725198135,0.0463402785675837,0.4871237458193981,9,0.5132704596990311,0.016287279319928686,0.3092306548136813,0.07188121363853894,0.1662509856265711,0.1434676808717132,True,0.2179863452911377,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count6/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_212722
20newsgroups,d-federaser,43,AS,7,,1 3 4 5 6 7 9,7,0.40316856367933224,0.07317149310951503,0.4983650793650794,7,0.5351179432812085,0.010152222862228723,0.18833098709602208,0.04689163189587675,0.1286371943797427,0.12470041974766724,True,0.1114494800567627,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count7/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_212824
20newsgroups,d-federaser,43,AS,8,,1 2 3 4 5 6 7 9,8,0.39279358945241805,0.038692842243259924,0.4546141088014153,6,0.5310567408781695,0.025215383476998938,0.13145094323425077,0.03405304144816367,0.06904595362646736,0.13676403797517564,True,0.11014556884765625,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count8/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_213116
20newsgroups,d-federaser,43,AS,9,,1 2 3 4 5 6 7 8 9,9,0.42656495504886194,0.07585966341269515,0.5551618724412842,9,0.5409193980622552,0.030207433170835466,4.188489832746001e-15,9.532526481813411e-16,2.1510571102112408e-15,0.1375915152736936,True,0.005273580551147461,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_tdb_count9/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_213241
20newsgroups,d-federaser,43,LS,,0.1,1 2 3 4 5 6 7 8 9,9,0.29883330771591965,0.08304761957597065,0.4207929935561515,8,0.6174156531299388,0.03372007732471966,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.1_topratio_ours/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_213625
20newsgroups,d-federaser,43,LS,,0.2,1 2 3 4 5 6 7 8 9,9,0.4062599643791594,0.032636491937416356,0.4507756132756133,8,0.5763931835360405,0.03018011577070184,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.2_topratio_ours/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_213807
20newsgroups,d-federaser,43,LS,,0.3,1 2 3 4 5 6 7 8 9,9,0.43741022351787595,0.03702473937549397,0.5004637029637029,9,0.556792413935271,0.02893722925348062,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.3_topratio_ours/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_214153
20newsgroups,d-federaser,43,LS,,0.4,1 2 3 4 5 6 7 8 9,9,0.42078608516431015,0.040856378428905965,0.4842631199210147,9,0.5592661306947021,0.03172452333681991,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.4_topratio_ours/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_214335
20newsgroups,d-federaser,43,LS,,0.5,1 2 3 4 5 6 7 8 9,9,0.44194165503976157,0.045112331693326145,0.5031615606615608,9,0.5489761561190133,0.024105055276588974,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.5_topratio_ours/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_214733
20newsgroups,d-federaser,43,LS,,0.6,1 2 3 4 5 6 7 8 9,9,0.4202400992566597,0.05419680430889634,0.47610778110778107,9,0.5454717240431526,0.027140267240841842,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.6_topratio_ours/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_214857
20newsgroups,d-federaser,43,LS,,0.7,1 2 3 4 5 6 7 8 9,9,0.43547208702607587,0.05289478817222017,0.5316083916083916,9,0.5523259808974096,0.02432936980914976,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.7_topratio_ours/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_215312
20newsgroups,d-federaser,43,LS,,0.8,1 2 3 4 5 6 7 8 9,9,0.41888452169501655,0.04176718537715884,0.4973352010308531,8,0.5723046794475367,0.021380449572513914,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.8_topratio_ours/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_215418
20newsgroups,d-federaser,43,LS,,0.9,1 2 3 4 5 6 7 8 9,9,0.4102833634954939,0.05428113829016957,0.502518315018315,9,0.5664296021438877,0.023044498760724463,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora0.9_topratio_ours/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_215854
20newsgroups,d-federaser,43,LS,,1.0,1 2 3 4 5 6 7 8 9,9,0.4107721648335384,0.05077240795488731,0.49057609057609064,9,0.5655019583591012,0.025019751823703723,,,,,,,/home/xzq/private/llm-dfl-0525/artifacts/tdb_as_ls_k1to9_r0p1to1_seed424344_20260526/20newsgroups/d-federaser/strategy_full_lora1.0_topratio_ours/K10/G10_L5/alpha0.5/seed43_20260209_075703/dfu_20260526_215944
