dataset,algorithm,setting,k,r,n,seeds,macro_f1_best_mean,macro_f1_best_std,macro_f1_mean_mean,macro_f1_mean_std,mia_auc_mean,mia_auc_std,trajectory_l1_mean,trajectory_l1_std,label_l1_mean,label_l1_std,target_exposure_mean,target_exposure_std,solve_time_sec_mean,solve_time_sec_std
20newsgroups,d-fedosd,LS,,0.8,3,"42,43,44",0.4686050882954908,0.02301048134812697,0.3833615464818333,0.024233229650804745,0.549175566026517,0.05605501260536583,,,,,,,,
20newsgroups,d-fedosd,LS,,0.9,3,"42,43,44",0.48129948591713306,0.02574435438976326,0.37630205189876,0.036233790730800935,0.5526322490718775,0.053159687849229614,,,,,,,,
20newsgroups,d-fedosd,LS,,1.0,3,"42,43,44",0.47414417447176066,0.026526751024945963,0.3723625548424635,0.03616437402950283,0.5514176359893594,0.05627538646597274,,,,,,,,
20newsgroups,d-fedrecovery,AS,1,,3,"42,43,44",0.2570903170903171,0.05047185632358904,0.2570903170903171,0.05047185632358904,0.5503331476131123,0.0020923943753302014,2.081831849028232,0.10431259998274059,0.7722622920193936,0.06884663819149883,0.12419044010015405,0.1318998355879666,0.019214391708374023,0.002912698928249598
20newsgroups,d-fedrecovery,AS,2,,3,"42,43,44",0.31677398624767045,0.015948967062652385,0.31677398624767045,0.015948967062652385,0.5444283933669161,0.043784411947439435,1.1143518887192545,0.07527492449982648,0.5176195306105046,0.017025424918577364,0.1310730635364205,0.08264562586058682,0.19152124722798666,0.004385014445582778
20newsgroups,d-fedrecovery,AS,3,,3,"42,43,44",0.3878035928496455,0.11403047614472012,0.3874043819241188,0.11346643188978359,0.5515532741538933,0.04357038871820283,0.8095863240339504,0.06454323570886872,0.39829066236055677,0.03155856380214364,0.16690544432771365,0.07253771140343489,0.2470400333404541,0.031257216557140546
20newsgroups,d-fedrecovery,AS,4,,3,"42,43,44",0.39991239267555057,0.025734546646361118,0.37135127133737045,0.03752234146312071,0.5627375511608153,0.06379832838306387,0.6125755987468674,0.06890445981630446,0.24499125337156585,0.02808034008744505,0.15380060753169855,0.051436576126419276,0.24445533752441406,0.0332547882561855
20newsgroups,d-fedrecovery,AS,5,,3,"42,43,44",0.5172398879643462,0.00505826022744331,0.4185899972019167,0.03191593397825314,0.5301603193111375,0.032248981476670435,0.43677973502357736,0.006068304311647626,0.20172050120484977,0.011665690174078374,0.12892537585667374,0.06196662727527221,0.23032100995381674,0.03931564691434793
20newsgroups,d-fedrecovery,AS,6,,3,"42,43,44",0.49642620179384883,0.014355662470905285,0.42910130591796364,0.019269046863585625,0.5340909090909091,0.025606076530979977,0.3432411094332544,0.038339508080612206,0.14326661465807217,0.01796280249204623,0.116856363967115,0.027837653103649593,0.18552096684773764,0.03433892806836724
20newsgroups,d-fedrecovery,AS,7,,3,"42,43,44",0.4781278224699277,0.027168998510280287,0.4069753844405489,0.013757430257150927,0.5554037016948498,0.033398264063158455,0.22017089808382223,0.05250970356196759,0.12127832824761127,0.01738936289813555,0.10563011161633463,0.028066457060894064,0.1174766222635905,0.008053988850415342
