dataset,algorithm,setting,k,r,n,seeds,macro_f1_best_mean,macro_f1_best_std,macro_f1_mean_mean,macro_f1_mean_std,mia_auc_mean,mia_auc_std,trajectory_l1_mean,trajectory_l1_std,label_l1_mean,label_l1_std,target_exposure_mean,target_exposure_std,solve_time_sec_mean,solve_time_sec_std
20newsgroups,d-federaser,DSU,1,0.1,3,"42,43,44",0.1081699813945087,0.06740262669677338,0.1081699813945087,0.06740262669677338,0.5280826844294336,0.0730249589721503,2.081831849028232,0.10431259998274059,0.7722622920193936,0.06884663819149883,0.12419044010015405,0.1318998355879666,0.015644550323486328,0.0011917997158656737
20newsgroups,d-federaser,DSU,1,0.2,3,"42,43,44",0.247885381159375,0.07860123067722612,0.247885381159375,0.07860123067722612,0.522526458749369,0.05218087691539031,2.081831849028232,0.10431259998274059,0.7722622920193936,0.06884663819149883,0.12419044010015405,0.1318998355879666,0.01653575897216797,0.0014161618998534816
20newsgroups,d-federaser,DSU,1,0.3,3,"42,43,44",0.26448948225264013,0.10938691934041321,0.26448948225264013,0.10938691934041321,0.504224975476634,0.07523064513294447,2.081831849028232,0.10431259998274059,0.7722622920193936,0.06884663819149883,0.12419044010015405,0.1318998355879666,0.01720563570658366,0.002768030355081572
20newsgroups,d-federaser,DSU,1,0.4,3,"42,43,44",0.2844349236182267,0.08696466330521449,0.2844349236182267,0.08696466330521449,0.4995510484895713,0.06707367237275182,2.081831849028232,0.10431259998274059,0.7722622920193936,0.06884663819149883,0.12419044010015405,0.1318998355879666,0.017391443252563477,0.0022272567778212115
20newsgroups,d-federaser,DSU,1,0.5,3,"42,43,44",0.26554967510139926,0.12943429086638295,0.26554967510139926,0.12943429086638295,0.5073111541267225,0.06857757601377563,2.081831849028232,0.10431259998274059,0.7722622920193936,0.06884663819149883,0.12419044010015405,0.1318998355879666,0.014695485432942709,0.0017288226439532216
20newsgroups,d-federaser,DSU,1,0.6,3,"42,43,44",0.2881442170755896,0.10008126619202858,0.2881442170755896,0.10008126619202858,0.5209516342422137,0.0706922115698039,2.081831849028232,0.10431259998274059,0.7722622920193936,0.06884663819149883,0.12419044010015405,0.1318998355879666,0.015088558197021484,0.0005306279947673533
20newsgroups,d-federaser,DSU,1,0.7,3,"42,43,44",0.24863244541263116,0.07946144491026018,0.24863244541263116,0.07946144491026018,0.5193296457338916,0.06814831649905069,2.081831849028232,0.10431259998274059,0.7722622920193936,0.06884663819149883,0.12419044010015405,0.1318998355879666,0.014978885650634766,0.0013512728946109905
20newsgroups,d-federaser,DSU,1,0.8,3,"42,43,44",0.2330183475521004,0.09462698326558522,0.2330183475521004,0.09462698326558522,0.5149534454930298,0.06627366134414434,2.081831849028232,0.10431259998274059,0.7722622920193936,0.06884663819149883,0.12419044010015405,0.1318998355879666,0.01479029655456543,0.001597287911579158
20newsgroups,d-federaser,DSU,1,0.9,3,"42,43,44",0.2480701579122632,0.09583530887670118,0.2480701579122632,0.09583530887670118,0.5292155458674698,0.06283600619836117,2.081831849028232,0.10431259998274059,0.7722622920193936,0.06884663819149883,0.12419044010015405,0.1318998355879666,0.015929381052652996,0.0012123586127865526
20newsgroups,d-federaser,DSU,1,1.0,3,"42,43,44",0.23404275621380882,0.09885687539745647,0.23404275621380882,0.09885687539745647,0.5204445733636357,0.06530834587812358,2.081831849028232,0.10431259998274059,0.7722622920193936,0.06884663819149883,0.12419044010015405,0.1318998355879666,0.015755335489908855,0.0016690056004152684
20newsgroups,d-federaser,DSU,2,0.1,3,"42,43,44",0.3117720880703541,0.016406369315200255,0.3117720880703541,0.016406369315200255,0.533533094258437,0.055010780538726455,1.1143518887192545,0.07527492449982648,0.5176195306105046,0.017025424918577364,0.1310730635364205,0.08264562586058682,0.18858051300048828,0.005137017123459661
20newsgroups,d-federaser,DSU,2,0.2,3,"42,43,44",0.3645401747852728,0.033413420708648854,0.3645401747852728,0.033413420708648854,0.5358830932692056,0.04055809098044947,1.1143518887192545,0.07527492449982648,0.5176195306105046,0.017025424918577364,0.1310730635364205,0.08264562586058682,0.20456862449645996,0.010600920707342728
20newsgroups,d-federaser,DSU,2,0.3,3,"42,43,44",0.39120337308030806,0.077711590417419,0.39120337308030806,0.077711590417419,0.5189337617024481,0.044664611046390995,1.1143518887192545,0.07527492449982648,0.5176195306105046,0.017025424918577364,0.1310730635364205,0.08264562586058682,0.19581055641174316,0.01835670954835246
20newsgroups,d-federaser,DSU,2,0.4,3,"42,43,44",0.41064505755682223,0.06772481453377757,0.41064505755682223,0.06772481453377757,0.5216302150844389,0.04620349657903918,1.1143518887192545,0.07527492449982648,0.5176195306105046,0.017025424918577364,0.1310730635364205,0.08264562586058682,0.18919706344604492,0.007841046212112178
20newsgroups,d-federaser,DSU,2,0.5,3,"42,43,44",0.4019483789917227,0.05829084504560546,0.4019483789917227,0.05829084504560546,0.5249270042945408,0.04275439469638801,1.1143518887192545,0.07527492449982648,0.5176195306105046,0.017025424918577364,0.1310730635364205,0.08264562586058682,0.18914580345153809,0.0058991276513790875
